10-06-2025 13:19:26 RAM 14476/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@1651,3%@1651,1%@1651,0%@729,0%@729,3%@729,0%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.218C soc2@34.906C soc0@35.5C gpu@34.343C tj@38.218C soc1@34.968C VDD_GPU_SOC 2399mW/2399mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2612mW/2612mW
10-06-2025 13:19:27 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,0%@729,1%@729,0%@729,4%@729,0%@729,10%@729,3%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.906C soc2@35.031C soc0@35.5C gpu@34.343C tj@37.906C soc1@34.968C VDD_GPU_SOC 1999mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2562mW
10-06-2025 13:19:28 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.812C soc2@34.906C soc0@35.5C gpu@34.343C tj@37.812C soc1@34.968C VDD_GPU_SOC 1999mW/2132mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
10-06-2025 13:19:29 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,2%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38C soc2@34.875C soc0@35.437C gpu@34.343C tj@38C soc1@34.937C VDD_GPU_SOC 1999mW/2099mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2487mW
10-06-2025 13:19:30 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.875C soc2@34.937C soc0@35.562C gpu@34.343C tj@37.875C soc1@34.906C VDD_GPU_SOC 1999mW/2079mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2471mW
10-06-2025 13:19:31 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.968C soc2@34.875C soc0@35.437C gpu@34.343C tj@37.968C soc1@34.906C VDD_GPU_SOC 1999mW/2066mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2461mW
10-06-2025 13:19:32 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,5%@729,0%@729,0%@729,3%@729,1%@729,0%@729,18%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.781C soc2@34.875C soc0@35.406C gpu@34.343C tj@37.781C soc1@35C VDD_GPU_SOC 1999mW/2056mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2469mW
10-06-2025 13:19:33 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.843C soc2@34.875C soc0@35.437C gpu@34.343C tj@37.843C soc1@34.937C VDD_GPU_SOC 1999mW/2049mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2461mW
10-06-2025 13:19:34 RAM 14472/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@37.843C soc2@34.812C soc0@35.406C gpu@34.343C tj@37.843C soc1@34.968C VDD_GPU_SOC 1999mW/2043mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2456mW
10-06-2025 13:19:35 RAM 14492/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@1728,11%@729,3%@729,4%@729,1%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 8%@204 GR3D_FREQ 64%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38C soc2@34.968C soc0@35.5C gpu@34.5C tj@38C soc1@35.031C VDD_GPU_SOC 3598mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 3014mW/2512mW
10-06-2025 13:19:36 RAM 14494/62841MB (lfb 897x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@1728,4%@729,2%@729,51%@729,3%@729,2%@729,6%@729,3%@729,off,off,off,off] EMC_FREQ 33%@204 GR3D_FREQ 80%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@38.312C soc2@34.843C soc0@35.5C gpu@34.312C tj@38.312C soc1@34.875C VDD_GPU_SOC 3198mW/2290mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 3522mW/2603mW
