09-29-2025 14:32:50 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [50%@729,0%@729,0%@729,0%@729,0%@1303,0%@1113,0%@1113,0%@1113,off,off,off,off] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C soc2@39.937C soc0@40.593C gpu@39.531C tj@43.093C soc1@39.812C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 1199mW/1199mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:32:50 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,14%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 24%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C soc2@39.906C soc0@40.343C gpu@39.281C tj@43.093C soc1@39.875C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 1199mW/1199mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,14%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 23%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.937C soc2@39.843C soc0@40.375C gpu@39.312C tj@42.937C soc1@39.968C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/1066mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 22%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.875C soc0@40.437C gpu@39.375C tj@43.031C soc1@39.718C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/999mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.312C soc2@39.937C soc0@40.5C gpu@39.125C tj@43.312C soc1@39.781C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/959mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,14%@729,0%@729,0%@729,14%@729,14%@729,off,off,off,off] EMC_FREQ 21%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.875C soc2@39.875C soc0@40.312C gpu@39.312C tj@42.875C soc1@39.843C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/932mW VIN_SYS_5V0 3421mW/3421mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 20%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C soc2@39.812C soc0@40.375C gpu@39.375C tj@42.968C soc1@39.875C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/913mW VIN_SYS_5V0 3321mW/3407mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.125C soc2@39.75C soc0@40.406C gpu@39.125C tj@43.125C soc1@39.718C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/899mW VIN_SYS_5V0 3321mW/3396mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 18%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C soc2@39.875C soc0@40.437C gpu@39.187C tj@43.031C soc1@39.812C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/888mW VIN_SYS_5V0 3321mW/3388mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,20%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.843C soc2@39.906C soc0@40.562C gpu@39.531C tj@42.843C soc1@39.812C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/879mW VIN_SYS_5V0 3321mW/3381mW
09-29-2025 14:32:51 RAM 15599/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 17%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.906C soc2@39.906C soc0@40.437C gpu@39.218C tj@42.906C soc1@39.968C VDD_GPU_SOC 2798mW/2798mW VDD_CPU_CV 799mW/872mW VIN_SYS_5V0 3321mW/3376mW
